datetime,Klant 1
2013-08-03,   0.634674
2013-08-04,   0.706654
2013-08-05,   0.602192
2013-08-06,   0.745497
2013-08-07,   0.651499
2013-08-08,   0.584990
2013-08-09,   0.793231
2013-08-10,   0.560455
2013-08-11,   0.748997
2013-08-12,   0.906496
2013-08-13,   0.401604
2013-08-14,   0.397947
2013-08-15,   0.635191
2013-08-16,   0.771921
2013-08-17,   0.710561
2013-08-18,   0.884430
2013-08-19,   0.651902
2013-08-20,   1.021917
2013-08-21,   0.788835
2013-08-22,   1.202552
2013-08-23,   1.491889
2013-08-24,   1.083791
2013-08-25,   1.146186
2013-08-26,   0.560266
2013-08-27,   0.299046
2013-08-28,   0.869367
2013-08-29,   1.495796
2013-08-30,   1.423754
2013-08-31,   1.455863
2013-09-01,   0.668426
2013-09-02,   0.849893
2013-09-03,   0.472771
2013-09-04,   0.297049
2013-09-05,   0.203951
2013-09-06,   0.298043
2013-09-07,   0.299807
2013-09-08,   4.050355
2013-09-09,   6.035035
2013-09-10,   4.892690
2013-09-11,   0.804858
2013-09-12,   4.672867
2013-09-13,   4.298413
2013-09-14,   0.531233
2013-09-15,   0.303050
2013-09-16,   9.600914
2013-09-17,   7.194149
2013-09-18,   4.753197
2013-09-19,   6.808245
2013-09-20,   1.022583
2013-09-21,   5.695005
2013-09-22,   0.616173
2013-09-23,   2.958765
2013-09-24,   5.944487
2013-09-25,   3.979389
2013-09-26,   4.389994
2013-09-27,   7.354502
2013-09-28,   4.543695
2013-09-29,   5.448797
2013-09-30,   6.039807
2013-10-01,   5.689178
2013-10-02,   7.950146
2013-10-03,   6.575272
2013-10-04,   4.684546
2013-10-05,   0.716570
2013-10-06,   6.698237
2013-10-07,   4.889034
2013-10-08,   0.854072
2013-10-09,   7.962072
2013-10-10,   8.280934
2013-10-11,   8.370602
2013-10-12,   5.575139
2013-10-13,   8.533789
2013-10-14,   8.574897
2013-10-15,   7.092055
2013-10-16,   7.395108
2013-10-17,   6.290650
2013-10-18,   7.878744
2013-10-19,   7.114136
2013-10-20,   0.438941
2013-10-21,   0.297291
2013-10-22,   0.306475
2013-10-23,   0.309156
2013-10-24,   3.884387
2013-10-25,  13.270521
2013-10-26,   0.929786
2013-10-27,   8.503968
2013-10-28,   7.087576
2013-10-29,   7.605720
2013-10-30,   6.694239
2013-10-31,   8.377246
2013-11-01,   5.069075
2013-11-02,   6.449054
2013-11-03,   9.679368
2013-11-04,   8.526009
2013-11-05,  10.290273
2013-11-06,   9.019200
2013-11-07,   7.119880
2013-11-08,   8.745104
2013-11-09,   8.819431
2013-11-10,   9.614484
2013-11-11,  10.185889
2013-11-12,  11.595504
2013-11-13,   8.296099
2013-11-14,   8.990910
2013-11-15,   8.862750
2013-11-16,   7.458910
2013-11-17,   8.639216
2013-11-18,   9.497565
2013-11-19,  11.330139
2013-11-20,  13.309565
2013-11-21,  11.959198
2013-11-22,  12.181485
2013-11-23,  10.418306
2013-11-24,   9.641392
2013-11-25,  11.480271
2013-11-26,  11.412549
2013-11-27,  10.409604
2013-11-28,   7.545842
2013-11-29,  10.292897
2013-11-30,   9.766624
2013-12-01,   9.098843
2013-12-02,  10.178657
2013-12-03,  12.091151
2013-12-04,  10.718636
2013-12-05,  10.124234
2013-12-06,   0.000000
2013-12-07,   0.000000
2013-12-08,   0.000000
2013-12-09,   0.000000
2013-12-10,   0.000000
2013-12-11,   2.596328
2013-12-12,  29.508631
2013-12-13,  13.629206
2013-12-14,   9.838984
2013-12-15,  11.502274
2013-12-16,  10.396166
2013-12-17,  10.791985
2013-12-18,  11.365657
2013-12-19,  11.185449
2013-12-20,  13.698762
2013-12-21,  12.200807
2013-12-22,  10.487351
2013-12-23,  12.552455
2013-12-24,  10.625544
2013-12-25,  10.595650
2013-12-26,  11.427166
2013-12-27,  14.026233
2013-12-28,  11.911997
2013-12-29,  11.983123
2013-12-30,   4.063271
2013-12-31,   0.000000
